Gene stable ID,Gene stable ID version,Gene description,Gene name
ENSMUSG00000101737,ENSMUSG00000101737.1,predicted gene 28849 [Source:MGI Symbol;Acc:MGI:5579555],Gm28849
ENSMUSG00000100752,ENSMUSG00000100752.1,predicted gene 28847 [Source:MGI Symbol;Acc:MGI:5579553],Gm28847
ENSMUSG00000100463,ENSMUSG00000100463.1,predicted gene 28848 [Source:MGI Symbol;Acc:MGI:5579554],Gm28848
ENSMUSG00000101977,ENSMUSG00000101977.1,predicted gene 28846 [Source:MGI Symbol;Acc:MGI:5579552],Gm28846
ENSMUSG00000100661,ENSMUSG00000100661.1,predicted gene 29471 [Source:MGI Symbol;Acc:MGI:5580177],Gm29471
ENSMUSG00000100571,ENSMUSG00000100571.1,predicted gene 29474 [Source:MGI Symbol;Acc:MGI:5580180],Gm29474
ENSMUSG00000100087,ENSMUSG00000100087.1,predicted gene 29475 [Source:MGI Symbol;Acc:MGI:5580181],Gm29475
ENSMUSG00000094556,ENSMUSG00000094556.2,"predicted gene, 20821 [Source:MGI Symbol;Acc:MGI:5434177]",Gm20821
ENSMUSG00000100049,ENSMUSG00000100049.1,predicted gene 28506 [Source:MGI Symbol;Acc:MGI:5579212],Gm28506
ENSMUSG00000100477,ENSMUSG00000100477.1,predicted gene 28507 [Source:MGI Symbol;Acc:MGI:5579213],Gm28507
ENSMUSG00000100800,ENSMUSG00000100800.1,"predicted gene, 21301 [Source:MGI Symbol;Acc:MGI:5434656]",Gm21301
ENSMUSG00000099439,ENSMUSG00000099439.1,predicted gene 29142 [Source:MGI Symbol;Acc:MGI:5579848],Gm29142
ENSMUSG00000095032,ENSMUSG00000095032.2,"predicted gene, 21310 [Source:MGI Symbol;Acc:MGI:5434665]",Gm21310
ENSMUSG00000099372,ENSMUSG00000099372.1,predicted gene 28509 [Source:MGI Symbol;Acc:MGI:5579215],Gm28509
ENSMUSG00000101699,ENSMUSG00000101699.1,predicted gene 28508 [Source:MGI Symbol;Acc:MGI:5579214],Gm28508
ENSMUSG00000095242,ENSMUSG00000095242.2,"predicted gene, 20834 [Source:MGI Symbol;Acc:MGI:5434190]",Gm20834
ENSMUSG00000101396,ENSMUSG00000101396.1,predicted gene 28510 [Source:MGI Symbol;Acc:MGI:5579216],Gm28510
ENSMUSG00000100995,ENSMUSG00000100995.1,predicted gene 29525 [Source:MGI Symbol;Acc:MGI:5580231],Gm29525
ENSMUSG00000100273,ENSMUSG00000100273.1,predicted gene 29526 [Source:MGI Symbol;Acc:MGI:5580232],Gm29526
ENSMUSG00000095950,ENSMUSG00000095950.2,"predicted gene, 20737 [Source:MGI Symbol;Acc:MGI:5434093]",Gm20737
ENSMUSG00000118472,ENSMUSG00000118472.1,"predicted gene, 21775 [Source:MGI Symbol;Acc:MGI:5433939]",Gm21775
ENSMUSG00000118422,ENSMUSG00000118422.1,"predicted gene, 21900 [Source:MGI Symbol;Acc:MGI:5434064]",Gm21900
ENSMUSG00000100369,ENSMUSG00000100369.1,predicted gene 29527 [Source:MGI Symbol;Acc:MGI:5580233],Gm29527
ENSMUSG00000075359,ENSMUSG00000075359.2,"predicted gene, 20775 [Source:MGI Symbol;Acc:MGI:5434131]",Gm20775
ENSMUSG00000099668,ENSMUSG00000099668.1,predicted gene 29522 [Source:MGI Symbol;Acc:MGI:5580228],Gm29522
ENSMUSG00000100731,ENSMUSG00000100731.1,predicted gene 29523 [Source:MGI Symbol;Acc:MGI:5580229],Gm29523
ENSMUSG00000100074,ENSMUSG00000100074.1,predicted gene 29524 [Source:MGI Symbol;Acc:MGI:5580230],Gm29524
ENSMUSG00000099676,ENSMUSG00000099676.1,predicted gene 29528 [Source:MGI Symbol;Acc:MGI:5580234],Gm29528
ENSMUSG00000094813,ENSMUSG00000094813.2,"predicted gene, 20777 [Source:MGI Symbol;Acc:MGI:5434133]",Gm20777
ENSMUSG00000099482,ENSMUSG00000099482.1,predicted gene 28955 [Source:MGI Symbol;Acc:MGI:5579661],Gm28955
ENSMUSG00000099776,ENSMUSG00000099776.1,predicted gene 28954 [Source:MGI Symbol;Acc:MGI:5579660],Gm28954
ENSMUSG00000100742,ENSMUSG00000100742.1,predicted gene 28953 [Source:MGI Symbol;Acc:MGI:5579659],Gm28953
ENSMUSG00000100730,ENSMUSG00000100730.1,"predicted gene, 20776 [Source:MGI Symbol;Acc:MGI:5434132]",Gm20776
ENSMUSG00000100567,ENSMUSG00000100567.1,predicted gene 28958 [Source:MGI Symbol;Acc:MGI:5579664],Gm28958
ENSMUSG00000094838,ENSMUSG00000094838.2,"predicted gene, 20828 [Source:MGI Symbol;Acc:MGI:5434184]",Gm20828
ENSMUSG00000101319,ENSMUSG00000101319.1,predicted gene 28957 [Source:MGI Symbol;Acc:MGI:5579663],Gm28957
ENSMUSG00000101789,ENSMUSG00000101789.1,predicted gene 28956 [Source:MGI Symbol;Acc:MGI:5579662],Gm28956
ENSMUSG00000100015,ENSMUSG00000100015.1,predicted gene 28952 [Source:MGI Symbol;Acc:MGI:5579658],Gm28952
ENSMUSG00000099572,ENSMUSG00000099572.1,predicted gene 28951 [Source:MGI Symbol;Acc:MGI:5579657],Gm28951
ENSMUSG00000101690,ENSMUSG00000101690.1,predicted gene 28390 [Source:MGI Symbol;Acc:MGI:5579096],Gm28390
ENSMUSG00000101842,ENSMUSG00000101842.1,predicted gene 28391 [Source:MGI Symbol;Acc:MGI:5579097],Gm28391
ENSMUSG00000101871,ENSMUSG00000101871.1,predicted gene 28389 [Source:MGI Symbol;Acc:MGI:5579095],Gm28389
ENSMUSG00000100919,ENSMUSG00000100919.1,predicted gene 28655 [Source:MGI Symbol;Acc:MGI:5579361],Gm28655
ENSMUSG00000101123,ENSMUSG00000101123.1,predicted gene 28654 [Source:MGI Symbol;Acc:MGI:5579360],Gm28654
ENSMUSG00000101276,ENSMUSG00000101276.1,predicted gene 28657 [Source:MGI Symbol;Acc:MGI:5579363],Gm28657
ENSMUSG00000100368,ENSMUSG00000100368.1,predicted gene 28656 [Source:MGI Symbol;Acc:MGI:5579362],Gm28656
ENSMUSG00000100231,ENSMUSG00000100231.1,predicted gene 29554 [Source:MGI Symbol;Acc:MGI:5580260],Gm29554
ENSMUSG00000101469,ENSMUSG00000101469.1,predicted gene 29556 [Source:MGI Symbol;Acc:MGI:5580262],Gm29556
ENSMUSG00000095508,ENSMUSG00000095508.2,"predicted gene, 20812 [Source:MGI Symbol;Acc:MGI:5434168]",Gm20812
ENSMUSG00000103330,ENSMUSG00000103330.1,"predicted gene, 35108 [Source:MGI Symbol;Acc:MGI:5594267]",Gm35108
ENSMUSG00000104505,ENSMUSG00000104505.5,"predicted gene, 37739 [Source:MGI Symbol;Acc:MGI:5610967]",Gm37739
ENSMUSG00000104468,ENSMUSG00000104468.1,"predicted gene, 21736 [Source:MGI Symbol;Acc:MGI:5433900]",Gm21736
ENSMUSG00000094135,ENSMUSG00000094135.1,"predicted gene, 21379 [Source:MGI Symbol;Acc:MGI:5434734]",Gm21379
ENSMUSG00000103361,ENSMUSG00000103361.1,"predicted gene, 36928 [Source:MGI Symbol;Acc:MGI:5610156]",Gm36928
ENSMUSG00000104267,ENSMUSG00000104267.1,"predicted gene, 20807 [Source:MGI Symbol;Acc:MGI:5434163]",Gm20807
ENSMUSG00000103352,ENSMUSG00000103352.1,"predicted gene, 38084 [Source:MGI Symbol;Acc:MGI:5611312]",Gm38084
ENSMUSG00000102335,ENSMUSG00000102335.5,"predicted gene, 37231 [Source:MGI Symbol;Acc:MGI:5610459]",Gm37231
ENSMUSG00000095769,ENSMUSG00000095769.1,"predicted gene, 21891 [Source:MGI Symbol;Acc:MGI:5434055]",Gm21891
ENSMUSG00000096820,ENSMUSG00000096820.2,"predicted gene, 21425 [Source:MGI Symbol;Acc:MGI:5434780]",Gm21425
ENSMUSG00000103474,ENSMUSG00000103474.1,"predicted gene, 37252 [Source:MGI Symbol;Acc:MGI:5610480]",Gm37252
ENSMUSG00000095759,ENSMUSG00000095759.1,"predicted gene, 21828 [Source:MGI Symbol;Acc:MGI:5433992]",Gm21828
ENSMUSG00000103468,ENSMUSG00000103468.1,"predicted gene, 21440 [Source:MGI Symbol;Acc:MGI:5434795]",Gm21440
ENSMUSG00000093903,ENSMUSG00000093903.6,"predicted gene, 21454 [Source:MGI Symbol;Acc:MGI:5434809]",Gm21454
ENSMUSG00000103176,ENSMUSG00000103176.1,"predicted gene, 37147 [Source:MGI Symbol;Acc:MGI:5610375]",Gm37147
ENSMUSG00000104522,ENSMUSG00000104522.5,"predicted gene, 38159 [Source:MGI Symbol;Acc:MGI:5611387]",Gm38159
ENSMUSG00000095462,ENSMUSG00000095462.1,"predicted gene, 21725 [Source:MGI Symbol;Acc:MGI:5433889]",Gm21725
ENSMUSG00000102177,ENSMUSG00000102177.5,"predicted gene, 37870 [Source:MGI Symbol;Acc:MGI:5611098]",Gm37870
ENSMUSG00000102346,ENSMUSG00000102346.5,"predicted gene, 37378 [Source:MGI Symbol;Acc:MGI:5610606]",Gm37378
ENSMUSG00000093883,ENSMUSG00000093883.1,"predicted gene, 21866 [Source:MGI Symbol;Acc:MGI:5434030]",Gm21866
ENSMUSG00000095900,ENSMUSG00000095900.2,"predicted gene, 20773 [Source:MGI Symbol;Acc:MGI:5434129]",Gm20773
ENSMUSG00000102174,ENSMUSG00000102174.1,"predicted gene, 36398 [Source:MGI Symbol;Acc:MGI:5595557]",Gm36398
ENSMUSG00000102583,ENSMUSG00000102583.1,"predicted gene, 37441 [Source:MGI Symbol;Acc:MGI:5610669]",Gm37441
ENSMUSG00000104048,ENSMUSG00000104048.1,"predicted gene, 37561 [Source:MGI Symbol;Acc:MGI:5610789]",Gm37561
ENSMUSG00000104404,ENSMUSG00000104404.1,"predicted gene, 36728 [Source:MGI Symbol;Acc:MGI:5595887]",Gm36728
ENSMUSG00000102799,ENSMUSG00000102799.1,"predicted gene, 32295 [Source:MGI Symbol;Acc:MGI:5591454]",Gm32295
ENSMUSG00000102613,ENSMUSG00000102613.1,"predicted gene, 20836 [Source:MGI Symbol;Acc:MGI:5434192]",Gm20836
ENSMUSG00000103524,ENSMUSG00000103524.1,"predicted gene, 37263 [Source:MGI Symbol;Acc:MGI:5610491]",Gm37263
ENSMUSG00000094227,ENSMUSG00000094227.1,"predicted gene, 21767 [Source:MGI Symbol;Acc:MGI:5433931]",Gm21767
ENSMUSG00000103681,ENSMUSG00000103681.5,"predicted gene, 37130 [Source:MGI Symbol;Acc:MGI:5610358]",Gm37130
ENSMUSG00000104409,ENSMUSG00000104409.5,"predicted gene, 37467 [Source:MGI Symbol;Acc:MGI:5610695]",Gm37467
ENSMUSG00000104127,ENSMUSG00000104127.1,"predicted gene, 20928 [Source:MGI Symbol;Acc:MGI:5434284]",Gm20928
ENSMUSG00000103872,ENSMUSG00000103872.5,"predicted gene, 38363 [Source:MGI Symbol;Acc:MGI:5611591]",Gm38363
ENSMUSG00000102787,ENSMUSG00000102787.5,"predicted gene, 30174 [Source:MGI Symbol;Acc:MGI:5589333]",Gm30174
ENSMUSG00000104499,ENSMUSG00000104499.5,"predicted gene, 30353 [Source:MGI Symbol;Acc:MGI:5589512]",Gm30353
ENSMUSG00000103431,ENSMUSG00000103431.5,"predicted gene, 30686 [Source:MGI Symbol;Acc:MGI:5589845]",Gm30686
ENSMUSG00000104191,ENSMUSG00000104191.1,"predicted gene, 30737 [Source:MGI Symbol;Acc:MGI:5589896]",Gm30737
ENSMUSG00000102492,ENSMUSG00000102492.1,"predicted gene, 36987 [Source:MGI Symbol;Acc:MGI:5610215]",Gm36987
ENSMUSG00000104260,ENSMUSG00000104260.1,"predicted gene, 31186 [Source:MGI Symbol;Acc:MGI:5590345]",Gm31186
ENSMUSG00000102251,ENSMUSG00000102251.5,"predicted gene, 37654 [Source:MGI Symbol;Acc:MGI:5610882]",Gm37654
ENSMUSG00000102366,ENSMUSG00000102366.1,"predicted gene, 37044 [Source:MGI Symbol;Acc:MGI:5610272]",Gm37044
ENSMUSG00000103909,ENSMUSG00000103909.1,"predicted gene, 31511 [Source:MGI Symbol;Acc:MGI:5590670]",Gm31511
ENSMUSG00000102835,ENSMUSG00000102835.5,"predicted gene, 37572 [Source:MGI Symbol;Acc:MGI:5610800]",Gm37572
ENSMUSG00000103943,ENSMUSG00000103943.5,"predicted gene, 37344 [Source:MGI Symbol;Acc:MGI:5610572]",Gm37344
ENSMUSG00000102624,ENSMUSG00000102624.1,"predicted gene, 37059 [Source:MGI Symbol;Acc:MGI:5610287]",Gm37059
ENSMUSG00000102138,ENSMUSG00000102138.1,"predicted gene, 31942 [Source:MGI Symbol;Acc:MGI:5591101]",Gm31942
ENSMUSG00000102582,ENSMUSG00000102582.1,"predicted gene, 37440 [Source:MGI Symbol;Acc:MGI:5610668]",Gm37440
ENSMUSG00000103666,ENSMUSG00000103666.1,"predicted gene, 38185 [Source:MGI Symbol;Acc:MGI:5611413]",Gm38185
ENSMUSG00000104207,ENSMUSG00000104207.1,"predicted gene, 37395 [Source:MGI Symbol;Acc:MGI:5610623]",Gm37395
ENSMUSG00000102392,ENSMUSG00000102392.5,"predicted gene, 37577 [Source:MGI Symbol;Acc:MGI:5610805]",Gm37577
ENSMUSG00000095172,ENSMUSG00000095172.2,"predicted gene, 20822 [Source:MGI Symbol;Acc:MGI:5434178]",Gm20822
ENSMUSG00000102754,ENSMUSG00000102754.1,"predicted gene, 38183 [Source:MGI Symbol;Acc:MGI:5611411]",Gm38183
ENSMUSG00000103167,ENSMUSG00000103167.1,"predicted gene, 38149 [Source:MGI Symbol;Acc:MGI:5611377]",Gm38149
ENSMUSG00000102387,ENSMUSG00000102387.1,"predicted gene, 38145 [Source:MGI Symbol;Acc:MGI:5611373]",Gm38145
ENSMUSG00000102208,ENSMUSG00000102208.1,"predicted gene, 32033 [Source:MGI Symbol;Acc:MGI:5591192]",Gm32033
ENSMUSG00000102265,ENSMUSG00000102265.1,"predicted gene, 32447 [Source:MGI Symbol;Acc:MGI:5591606]",Gm32447
ENSMUSG00000104490,ENSMUSG00000104490.1,"predicted gene, 20770 [Source:MGI Symbol;Acc:MGI:5434126]",Gm20770
ENSMUSG00000103112,ENSMUSG00000103112.1,"predicted gene, 38016 [Source:MGI Symbol;Acc:MGI:5611244]",Gm38016
ENSMUSG00000103234,ENSMUSG00000103234.1,"predicted gene, 37158 [Source:MGI Symbol;Acc:MGI:5610386]",Gm37158
ENSMUSG00000102288,ENSMUSG00000102288.1,"predicted gene, 36998 [Source:MGI Symbol;Acc:MGI:5610226]",Gm36998
ENSMUSG00000103417,ENSMUSG00000103417.1,"predicted gene, 33112 [Source:MGI Symbol;Acc:MGI:5592271]",Gm33112
ENSMUSG00000094829,ENSMUSG00000094829.2,"predicted gene, 21809 [Source:MGI Symbol;Acc:MGI:5433973]",Gm21809
ENSMUSG00000104510,ENSMUSG00000104510.1,"predicted gene, 34015 [Source:MGI Symbol;Acc:MGI:5593174]",Gm34015
ENSMUSG00000095520,ENSMUSG00000095520.2,"predicted gene, 20877 [Source:MGI Symbol;Acc:MGI:5434233]",Gm20877
ENSMUSG00000103602,ENSMUSG00000103602.1,"predicted gene, 33191 [Source:MGI Symbol;Acc:MGI:5592350]",Gm33191
ENSMUSG00000102586,ENSMUSG00000102586.5,"predicted gene, 38003 [Source:MGI Symbol;Acc:MGI:5611231]",Gm38003
ENSMUSG00000102170,ENSMUSG00000102170.1,"predicted gene, 20781 [Source:MGI Symbol;Acc:MGI:5434137]",Gm20781
ENSMUSG00000095365,ENSMUSG00000095365.3,"RNA binding motif 31, Y-linked [Source:MGI Symbol;Acc:MGI:1921734]",Rbm31y
ENSMUSG00000102421,ENSMUSG00000102421.1,"predicted gene, 37325 [Source:MGI Symbol;Acc:MGI:5610553]",Gm37325
ENSMUSG00000104032,ENSMUSG00000104032.1,"predicted gene, 20833 [Source:MGI Symbol;Acc:MGI:5434189]",Gm20833
ENSMUSG00000102400,ENSMUSG00000102400.1,"predicted gene, 37865 [Source:MGI Symbol;Acc:MGI:5611093]",Gm37865
ENSMUSG00000102520,ENSMUSG00000102520.5,"predicted gene, 36941 [Source:MGI Symbol;Acc:MGI:5610169]",Gm36941
ENSMUSG00000094161,ENSMUSG00000094161.1,"predicted gene, 21904 [Source:MGI Symbol;Acc:MGI:5434068]",Gm21904
ENSMUSG00000102726,ENSMUSG00000102726.1,"predicted gene, 37937 [Source:MGI Symbol;Acc:MGI:5611165]",Gm37937
ENSMUSG00000102739,ENSMUSG00000102739.1,"predicted gene, 20772 [Source:MGI Symbol;Acc:MGI:5434128]",Gm20772
ENSMUSG00000094325,ENSMUSG00000094325.7,"predicted gene, 20831 [Source:MGI Symbol;Acc:MGI:5434187]",Gm20831
ENSMUSG00000103757,ENSMUSG00000103757.1,"predicted gene, 37286 [Source:MGI Symbol;Acc:MGI:5610514]",Gm37286
ENSMUSG00000096819,ENSMUSG00000096819.1,"serine-rich, secreted, Y-linked [Source:MGI Symbol;Acc:MGI:3526567]",Srsy
ENSMUSG00000103994,ENSMUSG00000103994.1,"predicted gene, 38028 [Source:MGI Symbol;Acc:MGI:5611256]",Gm38028
ENSMUSG00000095879,ENSMUSG00000095879.1,"predicted gene, 21764 [Source:MGI Symbol;Acc:MGI:5433928]",Gm21764
ENSMUSG00000095267,ENSMUSG00000095267.2,spermiogenesis specific transcript on the Y 1 [Source:MGI Symbol;Acc:MGI:1314663],Ssty1
ENSMUSG00000103917,ENSMUSG00000103917.1,"predicted gene, 38072 [Source:MGI Symbol;Acc:MGI:5611300]",Gm38072
ENSMUSG00000104439,ENSMUSG00000104439.1,"predicted gene, 20851 [Source:MGI Symbol;Acc:MGI:5434207]",Gm20851
ENSMUSG00000104446,ENSMUSG00000104446.1,"predicted gene, 30312 [Source:MGI Symbol;Acc:MGI:5589471]",Gm30312
ENSMUSG00000103514,ENSMUSG00000103514.1,"predicted gene, 37433 [Source:MGI Symbol;Acc:MGI:5610661]",Gm37433
ENSMUSG00000102150,ENSMUSG00000102150.1,"predicted gene, 37473 [Source:MGI Symbol;Acc:MGI:5610701]",Gm37473
ENSMUSG00000103782,ENSMUSG00000103782.1,"predicted gene, 37656 [Source:MGI Symbol;Acc:MGI:5610884]",Gm37656
ENSMUSG00000104050,ENSMUSG00000104050.1,"predicted gene, 38127 [Source:MGI Symbol;Acc:MGI:5611355]",Gm38127
ENSMUSG00000102264,ENSMUSG00000102264.1,"predicted gene, 30638 [Source:MGI Symbol;Acc:MGI:5589797]",Gm30638
ENSMUSG00000103871,ENSMUSG00000103871.1,"predicted gene, 38361 [Source:MGI Symbol;Acc:MGI:5611589]",Gm38361
ENSMUSG00000104356,ENSMUSG00000104356.1,"predicted gene, 31260 [Source:MGI Symbol;Acc:MGI:5590419]",Gm31260
ENSMUSG00000103802,ENSMUSG00000103802.1,"predicted gene, 21660 [Source:MGI Symbol;Acc:MGI:5435015]",Gm21660
ENSMUSG00000104472,ENSMUSG00000104472.1,"predicted gene, 38209 [Source:MGI Symbol;Acc:MGI:5611437]",Gm38209
ENSMUSG00000095927,ENSMUSG00000095927.1,"predicted gene, 21822 [Source:MGI Symbol;Acc:MGI:5433986]",Gm21822
ENSMUSG00000103347,ENSMUSG00000103347.1,"predicted gene, 37734 [Source:MGI Symbol;Acc:MGI:5610962]",Gm37734
ENSMUSG00000104407,ENSMUSG00000104407.5,"predicted gene, 38013 [Source:MGI Symbol;Acc:MGI:5611241]",Gm38013
ENSMUSG00000102290,ENSMUSG00000102290.1,"predicted gene, 21678 [Source:MGI Symbol;Acc:MGI:5435033]",Gm21678
ENSMUSG00000103612,ENSMUSG00000103612.1,"predicted gene, 37948 [Source:MGI Symbol;Acc:MGI:5611176]",Gm37948
ENSMUSG00000102580,ENSMUSG00000102580.1,"predicted gene, 37442 [Source:MGI Symbol;Acc:MGI:5610670]",Gm37442
ENSMUSG00000102273,ENSMUSG00000102273.5,"predicted gene, 34550 [Source:MGI Symbol;Acc:MGI:5593709]",Gm34550
ENSMUSG00000102294,ENSMUSG00000102294.1,"predicted gene, 37544 [Source:MGI Symbol;Acc:MGI:5610772]",Gm37544
ENSMUSG00000103190,ENSMUSG00000103190.5,"predicted gene, 34716 [Source:MGI Symbol;Acc:MGI:5593875]",Gm34716
ENSMUSG00000102867,ENSMUSG00000102867.1,"predicted gene, 37635 [Source:MGI Symbol;Acc:MGI:5610863]",Gm37635
ENSMUSG00000102968,ENSMUSG00000102968.5,"predicted gene, 35070 [Source:MGI Symbol;Acc:MGI:5594229]",Gm35070
ENSMUSG00000103371,ENSMUSG00000103371.1,"predicted gene, 35134 [Source:MGI Symbol;Acc:MGI:5594293]",Gm35134
ENSMUSG00000103489,ENSMUSG00000103489.1,"predicted gene, 37998 [Source:MGI Symbol;Acc:MGI:5611226]",Gm37998
ENSMUSG00000103796,ENSMUSG00000103796.1,"predicted gene, 38094 [Source:MGI Symbol;Acc:MGI:5611322]",Gm38094
ENSMUSG00000102552,ENSMUSG00000102552.1,"predicted gene, 21763 [Source:MGI Symbol;Acc:MGI:5433927]",Gm21763
ENSMUSG00000104426,ENSMUSG00000104426.1,"predicted gene, 38369 [Source:MGI Symbol;Acc:MGI:5611597]",Gm38369
ENSMUSG00000102304,ENSMUSG00000102304.1,"predicted gene, 35843 [Source:MGI Symbol;Acc:MGI:5595002]",Gm35843
ENSMUSG00000102195,ENSMUSG00000102195.5,"predicted gene, 38168 [Source:MGI Symbol;Acc:MGI:5611396]",Gm38168
ENSMUSG00000104506,ENSMUSG00000104506.5,"predicted gene, 37740 [Source:MGI Symbol;Acc:MGI:5610968]",Gm37740
ENSMUSG00000098966,ENSMUSG00000098966.1,"predicted gene, 27701 [Source:MGI Symbol;Acc:MGI:5531083]",Gm27701
ENSMUSG00000102913,ENSMUSG00000102913.1,"predicted gene, 37723 [Source:MGI Symbol;Acc:MGI:5610951]",Gm37723
ENSMUSG00000103664,ENSMUSG00000103664.5,"predicted gene, 36261 [Source:MGI Symbol;Acc:MGI:5595420]",Gm36261
ENSMUSG00000103005,ENSMUSG00000103005.1,"predicted gene, 37898 [Source:MGI Symbol;Acc:MGI:5611126]",Gm37898
ENSMUSG00000103752,ENSMUSG00000103752.5,"predicted gene, 36467 [Source:MGI Symbol;Acc:MGI:5595626]",Gm36467
ENSMUSG00000102551,ENSMUSG00000102551.1,"predicted gene, 37927 [Source:MGI Symbol;Acc:MGI:5611155]",Gm37927
ENSMUSG00000102255,ENSMUSG00000102255.1,"predicted gene, 36891 [Source:MGI Symbol;Acc:MGI:5596050]",Gm36891
ENSMUSG00000103365,ENSMUSG00000103365.1,"predicted gene, 36929 [Source:MGI Symbol;Acc:MGI:5610157]",Gm36929
ENSMUSG00000103829,ENSMUSG00000103829.5,"predicted gene, 38174 [Source:MGI Symbol;Acc:MGI:5611402]",Gm38174
ENSMUSG00000102668,ENSMUSG00000102668.1,"predicted gene, 29866 [Source:MGI Symbol;Acc:MGI:5589025]",Gm29866
ENSMUSG00000104131,ENSMUSG00000104131.5,"predicted gene, 36950 [Source:MGI Symbol;Acc:MGI:5610178]",Gm36950
ENSMUSG00000103023,ENSMUSG00000103023.1,"predicted gene, 20910 [Source:MGI Symbol;Acc:MGI:5434266]",Gm20910
ENSMUSG00000103689,ENSMUSG00000103689.1,"predicted gene, 30598 [Source:MGI Symbol;Acc:MGI:5589757]",Gm30598
ENSMUSG00000094294,ENSMUSG00000094294.2,"predicted gene, 20909 [Source:MGI Symbol;Acc:MGI:5434265]",Gm20909
ENSMUSG00000093848,ENSMUSG00000093848.2,"predicted gene, 20865 [Source:MGI Symbol;Acc:MGI:5434221]",Gm20865
ENSMUSG00000102429,ENSMUSG00000102429.5,"predicted gene, 37462 [Source:MGI Symbol;Acc:MGI:5610690]",Gm37462
ENSMUSG00000102849,ENSMUSG00000102849.1,"predicted gene, 37658 [Source:MGI Symbol;Acc:MGI:5610886]",Gm37658
ENSMUSG00000102513,ENSMUSG00000102513.1,"predicted gene, 32347 [Source:MGI Symbol;Acc:MGI:5591506]",Gm32347
ENSMUSG00000102966,ENSMUSG00000102966.1,"predicted gene, 31123 [Source:MGI Symbol;Acc:MGI:5590282]",Gm31123
ENSMUSG00000104425,ENSMUSG00000104425.5,"predicted gene, 38370 [Source:MGI Symbol;Acc:MGI:5611598]",Gm38370
ENSMUSG00000102146,ENSMUSG00000102146.1,"predicted gene, 38054 [Source:MGI Symbol;Acc:MGI:5611282]",Gm38054
ENSMUSG00000102159,ENSMUSG00000102159.1,"predicted gene, 37476 [Source:MGI Symbol;Acc:MGI:5610704]",Gm37476
ENSMUSG00000102506,ENSMUSG00000102506.1,"predicted gene, 37369 [Source:MGI Symbol;Acc:MGI:5610597]",Gm37369
ENSMUSG00000102826,ENSMUSG00000102826.1,"predicted gene, 38181 [Source:MGI Symbol;Acc:MGI:5611409]",Gm38181
ENSMUSG00000102230,ENSMUSG00000102230.1,"predicted gene, 31335 [Source:MGI Symbol;Acc:MGI:5590494]",Gm31335
ENSMUSG00000104345,ENSMUSG00000104345.5,"predicted gene, 37690 [Source:MGI Symbol;Acc:MGI:5610918]",Gm37690
ENSMUSG00000102262,ENSMUSG00000102262.1,"predicted gene, 38107 [Source:MGI Symbol;Acc:MGI:5611335]",Gm38107
ENSMUSG00000103528,ENSMUSG00000103528.1,"predicted gene, 31571 [Source:MGI Symbol;Acc:MGI:5590730]",Gm31571
ENSMUSG00000102772,ENSMUSG00000102772.5,"predicted gene, 32114 [Source:MGI Symbol;Acc:MGI:5591273]",Gm32114
ENSMUSG00000103425,ENSMUSG00000103425.1,"predicted gene, 37075 [Source:MGI Symbol;Acc:MGI:5610303]",Gm37075
ENSMUSG00000102486,ENSMUSG00000102486.1,"predicted gene, 37921 [Source:MGI Symbol;Acc:MGI:5611149]",Gm37921
ENSMUSG00000103250,ENSMUSG00000103250.1,"predicted gene, 32180 [Source:MGI Symbol;Acc:MGI:5591339]",Gm32180
ENSMUSG00000103077,ENSMUSG00000103077.5,"predicted gene, 38371 [Source:MGI Symbol;Acc:MGI:5611599]",Gm38371
ENSMUSG00000103787,ENSMUSG00000103787.1,"predicted gene, 37657 [Source:MGI Symbol;Acc:MGI:5610885]",Gm37657
ENSMUSG00000103987,ENSMUSG00000103987.1,"predicted gene, 37448 [Source:MGI Symbol;Acc:MGI:5610676]",Gm37448
ENSMUSG00000103063,ENSMUSG00000103063.1,"predicted gene, 33163 [Source:MGI Symbol;Acc:MGI:5592322]",Gm33163
ENSMUSG00000102957,ENSMUSG00000102957.1,"predicted gene, 21065 [Source:MGI Symbol;Acc:MGI:5434420]",Gm21065
ENSMUSG00000103269,ENSMUSG00000103269.1,"predicted gene, 36978 [Source:MGI Symbol;Acc:MGI:5610206]",Gm36978
ENSMUSG00000103954,ENSMUSG00000103954.5,"predicted gene, 37721 [Source:MGI Symbol;Acc:MGI:5610949]",Gm37721
ENSMUSG00000103894,ENSMUSG00000103894.1,"predicted gene, 37129 [Source:MGI Symbol;Acc:MGI:5610357]",Gm37129
ENSMUSG00000103795,ENSMUSG00000103795.1,"predicted gene, 37990 [Source:MGI Symbol;Acc:MGI:5611218]",Gm37990
ENSMUSG00000103919,ENSMUSG00000103919.1,"predicted gene, 21366 [Source:MGI Symbol;Acc:MGI:5434721]",Gm21366
ENSMUSG00000103812,ENSMUSG00000103812.5,"predicted gene, 33954 [Source:MGI Symbol;Acc:MGI:5593113]",Gm33954
ENSMUSG00000104259,ENSMUSG00000104259.1,"predicted gene, 37538 [Source:MGI Symbol;Acc:MGI:5610766]",Gm37538
ENSMUSG00000102487,ENSMUSG00000102487.1,"predicted gene, 21871 [Source:MGI Symbol;Acc:MGI:5434035]",Gm21871
